,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
22,"Wednesday, Apr 23",SDP,@,MIL,2.0,5.0,10-12,4.0,3.0,N,-1
23,"Thursday, Apr 24",SDP,@,WSN,4.0,3.0,11-12,4.0,2.0,N,1
24,"Friday, Apr 25",SDP,@,WSN,1.0,11.0,11-13,4.0,2.5,N,-1
25,"Saturday, Apr 26",SDP,@,WSN,0.0,4.0,11-14,4.0,3.5,D,-2
26,"Sunday, Apr 27",SDP,@,WSN,4.0,2.0,12-14,4.0,3.5,D,1
27,"Monday, Apr 28",SDP,@,SFG,6.0,4.0,13-14,4.0,2.5,N,2
28,"Tuesday, Apr 29",SDP,@,SFG,0.0,6.0,13-15,4.0,3.5,N,-1
29,"Wednesday, Apr 30",SDP,@,SFG,2.0,3.0,13-16,4.0,4.5,N,-2
30,"Friday, May 2",SDP,Home,ARI,0.0,2.0,13-17,4.0,5.5,N,-3
31,"Saturday, May 3",SDP,Home,ARI,3.0,4.0,13-18,4.0,6.5,N,-4
32,"Sunday, May 4",SDP,Home,ARI,4.0,3.0,14-18,4.0,6.5,D,1
33,"Monday, May 5",SDP,Home,KCR,6.0,5.0,15-18,4.0,6.5,N,2
34,"Tuesday, May 6",SDP,Home,KCR,1.0,3.0,15-19,4.0,6.5,N,-1
35,"Wednesday, May 7",SDP,Home,KCR,0.0,8.0,15-20,4.0,6.5,D,-2
36,"Thursday, May 8",SDP,Home,MIA,1.0,3.0,15-21,4.0,7.5,N,-3
37,"Friday, May 9",SDP,Home,MIA,10.0,1.0,16-21,4.0,7.5,N,1
38,"Saturday, May 10",SDP,Home,MIA,9.0,3.0,17-21,4.0,6.5,N,2
39,"Sunday, May 11",SDP,Home,MIA,5.0,4.0,18-21,4.0,6.5,D,3
40,"Tuesday, May 13",SDP,@,CIN,2.0,1.0,19-21,4.0,6.0,N,4
41,"Thursday, May 15 (1)",SDP,@,CIN,0.0,5.0,19-22,4.0,7.0,D,-1
42,"Thursday, May 15 (2)",SDP,@,CIN,6.0,1.0,20-22,4.0,7.0,N,1
43,"Friday, May 16",SDP,@,COL,1.0,3.0,20-23,4.0,7.0,N,-1
44,"Saturday, May 17",SDP,@,COL,8.0,5.0,21-23,4.0,6.0,N,1
45,"Sunday, May 18",SDP,@,COL,6.0,8.0,21-24,4.0,7.0,D,-1
46,"Tuesday, May 20",SDP,Home,MIN,3.0,5.0,21-25,4.0,7.0,N,-2
47,"Wednesday, May 21",SDP,Home,MIN,0.0,2.0,21-26,4.0,8.0,N,-3
48,"Thursday, May 22",SDP,Home,CHC,1.0,5.0,21-27,4.0,9.0,N,-4
49,"Friday, May 23",SDP,Home,CHC,11.0,1.0,22-27,4.0,9.0,N,1
50,"Saturday, May 24",SDP,Home,CHC,2.0,3.0,22-28,4.0,10.0,N,-1
51,"Sunday, May 25",SDP,Home,CHC,4.0,3.0,23-28,4.0,10.0,D,1
52,"Monday, May 26",SDP,@,ARI,5.0,7.0,23-29,4.0,10.0,N,-1
53,"Tuesday, May 27",SDP,@,ARI,4.0,3.0,24-29,4.0,10.0,N,1
