,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
64,"Wednesday, Jun 14",DET,Home,ARI,1.0,2.0,30-34,3.0,4.0,N,-2
65,"Thursday, Jun 15",DET,Home,TBR,5.0,3.0,31-34,3.0,4.0,N,1
66,"Friday, Jun 16",DET,Home,TBR,13.0,4.0,32-34,3.0,3.0,N,2
67,"Saturday, Jun 17",DET,Home,TBR,2.0,3.0,32-35,3.0,3.5,D,-1
68,"Sunday, Jun 18",DET,Home,TBR,1.0,9.0,32-36,4.0,4.5,D,-2
69,"Monday, Jun 19",DET,@,SEA,2.0,6.0,32-37,4.0,5.5,N,-3
70,"Tuesday, Jun 20",DET,@,SEA,4.0,5.0,32-38,4.0,5.5,N,-4
71,"Wednesday, Jun 21",DET,@,SEA,5.0,7.0,32-39,4.0,6.5,N,-5
72,"Thursday, Jun 22",DET,@,SEA,6.0,9.0,32-40,5.0,7.5,N,-6
73,"Friday, Jun 23",DET,@,SDP,0.0,1.0,32-41,5.0,7.5,N,-7
74,"Saturday, Jun 24",DET,@,SDP,3.0,7.0,32-42,5.0,7.5,N,-8
75,"Sunday, Jun 25",DET,@,SDP,7.0,5.0,33-42,4.0,7.0,D,1
76,"Tuesday, Jun 27",DET,Home,KCR,5.0,3.0,34-42,4.0,6.0,N,2
77,"Wednesday, Jun 28",DET,Home,KCR,2.0,8.0,34-43,4.0,7.0,N,-1
78,"Thursday, Jun 29",DET,Home,KCR,7.0,3.0,35-43,4.0,7.0,D,1
79,"Saturday, Jul 1 (1)",DET,Home,CLE,7.0,4.0,36-43,4.0,7.0,D,2
80,"Saturday, Jul 1 (2)",DET,Home,CLE,1.0,4.0,36-44,4.0,7.0,N,-1
81,"Sunday, Jul 2",DET,Home,CLE,8.0,11.0,36-45,4.0,8.0,D,-2
82,"Tuesday, Jul 4",DET,Home,SFG,5.0,3.0,37-45,4.0,7.0,D,1
83,"Wednesday, Jul 5",DET,Home,SFG,4.0,5.0,37-46,4.0,7.0,N,-1
84,"Thursday, Jul 6",DET,Home,SFG,6.0,2.0,38-46,4.0,7.0,D,1
85,"Friday, Jul 7",DET,@,CLE,2.0,11.0,38-47,4.0,8.0,N,-1
86,"Saturday, Jul 8",DET,@,CLE,0.0,4.0,38-48,4.0,9.0,N,-2
87,"Sunday, Jul 9",DET,@,CLE,5.0,3.0,39-48,4.0,8.0,N,1
88,"Friday, Jul 14",DET,Home,TOR,2.0,7.0,39-49,4.0,8.0,N,-1
