,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
21,"Wednesday, Apr 24",BAL,Home,TOR,5.0,6.0,12-9,2.0,2.0,D,-1.0
22,"Thursday, Apr 25",BAL,@,OAK,10.0,2.0,13-9,2.0,2.0,N,1.0
23,"Friday, Apr 26",BAL,@,OAK,3.0,0.0,14-9,2.0,2.0,N,2.0
24,"Saturday, Apr 27",BAL,@,OAK,7.0,3.0,15-9,2.0,2.0,D,3.0
25,"Sunday, Apr 28",BAL,@,OAK,8.0,9.0,15-10,3.0,3.0,D,-1.0
26,"Monday, Apr 29",BAL,@,SEA,2.0,6.0,15-11,3.0,3.5,N,-2.0
27,"Tuesday, Apr 30",BAL,@,SEA,7.0,2.0,16-11,3.0,2.5,N,1.0
28,"Wednesday, May 1",BAL,@,SEA,3.0,8.0,16-12,3.0,3.5,N,-1.0
29,"Thursday, May 2",BAL,@,LAA,5.0,1.0,17-12,3.0,3.5,N,1.0
30,"Friday, May 3",BAL,@,LAA,0.0,4.0,17-13,3.0,3.5,N,-1.0
31,"Saturday, May 4",BAL,@,LAA,5.0,4.0,18-13,3.0,2.5,D,1.0
32,"Sunday, May 5",BAL,@,LAA,8.0,4.0,19-13,2.0,1.5,D,2.0
33,"Tuesday, May 7",BAL,Home,KCR,4.0,3.0,20-13,2.0,1.0,N,3.0
34,"Wednesday, May 8",BAL,Home,KCR,5.0,3.0,21-13,1.0,Tied,N,4.0
35,"Thursday, May 9",BAL,Home,KCR,2.0,6.0,21-14,1.0,Tied,N,-1.0
36,"Friday, May 10",BAL,@,MIN,9.0,6.0,22-14,1.0,Tied,N,1.0
37,"Saturday, May 11",BAL,@,MIN,5.0,8.0,22-15,2.0,1.0,N,-1.0
38,"Sunday, May 12",BAL,@,MIN,6.0,0.0,23-15,2.0,1.0,D,1.0
39,"Tuesday, May 14",BAL,Home,SDP,2.0,3.0,23-16,2.0,2.0,N,-1.0
40,"Wednesday, May 15",BAL,Home,SDP,4.0,8.0,23-17,2.0,2.0,D,-2.0
41,"Friday, May 17",BAL,Home,TBR,10.0,12.0,23-18,3.0,2.5,N,-3.0
42,"Saturday, May 18",BAL,Home,TBR,6.0,10.0,23-19,3.0,3.5,D,-4.0
43,"Sunday, May 19",BAL,Home,TBR,1.0,3.0,23-20,3.0,4.0,D,-5.0
44,"Monday, May 20",BAL,Home,NYY,4.0,6.0,23-21,3.0,5.0,N,-6.0
45,"Tuesday, May 21",BAL,Home,NYY,3.0,2.0,24-21,3.0,4.0,N,1.0
46,"Wednesday, May 22",BAL,Home,NYY,6.0,3.0,25-21,3.0,3.0,N,2.0
47,"Thursday, May 23",BAL,@,TOR,6.0,12.0,25-22,3.0,3.5,N,-1.0
48,"Friday, May 24",BAL,@,TOR,10.0,6.0,26-22,3.0,3.5,N,1.0
49,"Saturday, May 25",BAL,@,TOR,6.0,5.0,27-22,3.0,3.5,D,2.0
50,"Sunday, May 26",BAL,@,TOR,5.0,6.0,27-23,3.0,3.5,D,-1.0
51,"Monday, May 27",BAL,@,WSN,6.0,2.0,28-23,3.0,3.5,D,1.0
52,"Tuesday, May 28",BAL,@,WSN,3.0,9.0,28-24,3.0,3.5,N,-1.0
53,"Wednesday, May 29",BAL,Home,WSN,9.0,6.0,29-24,3.0,2.5,N,1.0
54,"Thursday, May 30",BAL,Home,WSN,2.0,0.0,30-24,3.0,2.5,N,2.0
55,"Friday, May 31",BAL,Home,DET,7.0,5.0,31-24,3.0,1.5,N,3.0
56,"Saturday, Jun 1",BAL,Home,DET,3.0,10.0,31-25,3.0,2.5,D,-1.0
57,"Sunday, Jun 2",BAL,Home,DET,4.0,2.0,32-25,2.0,2.5,D,1.0
58,"Tuesday, Jun 4",BAL,@,HOU,4.0,1.0,33-25,2.0,2.5,N,2.0
59,"Wednesday, Jun 5",BAL,@,HOU,7.0,11.0,33-26,3.0,2.5,N,-1.0
60,"Thursday, Jun 6",BAL,@,HOU,3.0,1.0,34-26,3.0,2.5,D,1.0
