,Date,Tm,Home_Away,Opp,R,RA,W-L,Rank,GB,D/N,Streak
70,"Thursday, Jun 17",TBR,@,SEA,5.0,6.0,43-27,1.0,up 0.5,N,-3
71,"Friday, Jun 18",TBR,@,SEA,1.0,5.0,43-28,1.0,up 0.5,N,-4
72,"Saturday, Jun 19",TBR,@,SEA,5.0,6.0,43-29,2.0,0.5,N,-5
73,"Sunday, Jun 20",TBR,@,SEA,2.0,6.0,43-30,2.0,0.5,D,-6
74,"Tuesday, Jun 22",TBR,Home,BOS,5.0,9.0,43-31,2.0,1.5,N,-7
75,"Wednesday, Jun 23",TBR,Home,BOS,8.0,2.0,44-31,2.0,0.5,N,1
76,"Thursday, Jun 24",TBR,Home,BOS,1.0,0.0,45-31,1.0,up 0.5,N,2
77,"Friday, Jun 25",TBR,Home,LAA,4.0,3.0,46-31,1.0,up 0.5,N,3
78,"Saturday, Jun 26",TBR,Home,LAA,13.0,3.0,47-31,1.0,up 0.5,D,4
79,"Sunday, Jun 27",TBR,Home,LAA,4.0,6.0,47-32,2.0,0.5,D,-1
80,"Tuesday, Jun 29",TBR,@,WSN,3.0,4.0,47-33,2.0,2.0,N,-2
81,"Wednesday, Jun 30",TBR,@,WSN,6.0,15.0,47-34,2.0,3.0,D,-3
82,"Friday, Jul 2",TBR,@,TOR,1.0,11.0,47-35,2.0,4.5,N,-4
83,"Saturday, Jul 3",TBR,@,TOR,3.0,6.0,47-36,2.0,4.5,D,-5
84,"Sunday, Jul 4",TBR,@,TOR,5.0,1.0,48-36,2.0,4.5,D,1
85,"Monday, Jul 5",TBR,Home,CLE,9.0,8.0,49-36,2.0,4.5,N,2
86,"Wednesday, Jul 7 (1)",TBR,Home,CLE,8.0,1.0,50-36,2.0,2.5,D,3
87,"Wednesday, Jul 7 (2)",TBR,Home,CLE,4.0,0.0,51-36,2.0,2.5,N,4
88,"Friday, Jul 9",TBR,Home,TOR,7.0,1.0,52-36,2.0,2.5,N,5
89,"Saturday, Jul 10",TBR,Home,TOR,5.0,2.0,53-36,2.0,1.5,D,6
